,Actual Profit
411,35.04
412,-6.36
413,21.84
414,75.6
415,10.7912
416,73.86
417,6.51
418,-2.694
419,-0.872
420,6.288
421,178.318
422,-14.469
423,-21.18
424,-7.8705
425,15.66
426,2.86
427,3.96
428,5.205
429,5.28
430,-74.79
431,10.08
432,527.04
433,79.74
434,-419.652
435,30.52
436,-5.9712
437,8.49
438,33.5
439,622.02
440,8.505
441,27.09
442,-66.22
443,4.98
444,8.58
445,1.9656
446,-8.856
447,357.0
448,13.62
449,171.3
450,8.712
451,2.376
452,44.31
453,1.26
454,293.16
455,17.586
456,7.184
457,8.464
458,20.02
459,68.9631
460,-30.2288
461,3.34
462,6.735
463,-4.2987
464,0.0
465,2.1736
466,8.24
467,5.5392
468,18.12
469,1.856
470,254.56
471,14.28
472,197.713
473,-12.516
474,41.86
475,40.3536
476,-0.0144
477,3.614
478,5.01
479,-54.684
480,-0.024
481,-3.008
482,327.24
483,-48.33
484,-43.698
485,13.6
486,1.98
487,-308.85
488,0.0
489,-75.904
490,-53.7432
491,62.118
492,63.28
493,13.6
494,16.98
495,-12.784
496,5.7
497,-44.235
498,-20.7846
499,-7.92
500,-6.564
501,-27.1296
502,0.84
503,113.4
504,34.26
505,133.4
506,10.4496
507,114.938
508,34.78
509,-43.92
510,23.64
511,52.974
512,-13.58
513,-9.056
514,77.196
515,-3.54
516,89.979
517,20.43
518,35.37
519,2.1
520,-8.029
521,15.072
522,6.18
523,34.947
524,13.92
525,-122.496
526,3.852
527,67.5
528,198.882
529,6.0
530,89.2224
531,116.39
532,0.0
533,56.98
534,164.97
535,3.75
536,-3.4272
537,44.73
538,-11.136
539,21.45
540,-49.356
541,-14.46
542,2.52
543,382.848
544,6.24
545,2.24
546,4.5
547,145.872
548,63.4368
549,7.32
550,26.9526
551,29.76
552,0.0
553,164.4
554,3.3
555,-65.34
556,0.8624
557,4.533
558,186.84
559,143.718
560,4.302
561,-9.223
562,30.42
563,-119.07
564,4.668
565,-7.35
566,79.2957
567,-7.34
568,10.5
569,77.04
570,11.22
571,-29.4812
572,1.65
573,49.7
574,-12.088
575,26.901
576,24.4768
577,1.71
578,-91.7586
579,5.85
580,9.2
581,13.59
582,0.0
583,20.88
584,-24.966
585,0.84
586,67.6
587,25.83
588,-3.336
589,-2.928
590,0.96
591,1.08
592,4.11
593,26.55
594,2.48
595,8.64
596,16.14
597,-64.983
598,24.57
599,36.282
600,262.38
601,-4.935
602,6.2
603,11.85
604,-4.656
605,60.39
606,5.31
607,292.8
608,-16.461
609,6.7
610,18.66
611,-13.6488
612,-2.3904
613,2.82
614,12.39
615,83.58
616,7.992
617,12.336
618,-60.0825
619,56.5264
620,7.605
621,1.5048
622,-7.68
623,29.3877
624,12.78
625,38.88
626,10.3473
627,33.24
628,41.46
629,4.8525
630,16.86
631,4.95
632,21.0
633,34.24
634,59.24
635,20.58
636,3.18
637,20.155
638,1.8
639,12.96
640,-10.548
641,24.525
642,-110.29
643,24.12
644,-3.948
645,-7.14
646,7.2744
647,0.0
648,3.4686
649,3.4196
650,0.0
651,2.16
652,22.68
653,-734.526
654,8.64
655,5.3214
656,1.3284
657,26.8
658,8.91
659,16.6568
660,6.72
661,-80.352
662,-10.668
663,5.704
664,-36.54
665,0.0
666,219.451
667,8.694
668,12.0
669,79.92
670,30.98
671,39.6879
672,-8.997
673,51.36
674,18.72
675,64.35
676,-110.16
677,92.58
678,32.4
679,-45.5928
680,9.9992
681,8.636
682,82.338
683,212.76
684,2.04
685,-48.015
686,-2.412
687,68.7
688,5.124
689,38.178
690,1.8011
691,29.364
692,2.52
693,121.092
694,76.44
695,-4.04
696,-119.192
697,14.17
698,14.85
699,7.76
700,3.48
701,242.112
702,3.096
703,39.5868
704,-22.24
705,46.98
706,292.8
707,2.92
708,5.28
709,131.55
710,3.06
711,6.2152
712,30.0
713,-5.796
714,320.715
715,-11.0005
716,88.2
717,-123.858
718,88.08
719,79.992
720,3.6288
721,35.73
722,24.03
723,-46.7362
724,-2.4624
725,59.85
726,9.405
727,10.92
728,1.2432
729,11.676
730,6.2208
731,54.7185
732,53.34
733,8.88
734,-2.2572
735,9.0171
736,148.68
737,4.86
738,852.48
739,2.274
740,124.3
741,109.32
742,8.3916
743,16.1838
744,107.487
745,7.7
746,-29.2446
747,-14.064
748,9.66
749,11.6
750,152.67
751,84.9436
752,144.42
753,15.246
754,471.6
755,17.88
756,5.49
757,18.33
758,137.844
759,62.664
760,-338.025
761,-3.972
762,208.592
763,24.6
764,19.11
765,24.48
766,89.55
767,0.0
768,93.96
769,174.42
770,4.08
771,53.28
772,-2.0016
773,-0.822
774,21.024
775,17.46
776,7.5992
777,24.36
778,-9.69
779,33.96
780,-28.0875
781,-9.81
782,51.28
783,-11.52
784,1.92
785,-40.016
786,51.72
787,15.12
788,5.6784
789,25.3164
790,13.7931
791,1722.48
792,126.06
793,-0.2685
794,58.02
795,80.7912
796,28.5
797,34.2
798,9.4392
799,49.2
800,3.3
801,48.72
802,10.83
803,-13.1706
804,49.44
805,7.14
806,23.58
807,6.48
808,35.9964
809,1.8
810,3.3
811,-50.595
812,15.0
813,7.77
814,1.3365
815,5.8604
816,4.96
817,-182.208
818,0.0
819,17.64
820,38.64
821,89.997
822,1.02
823,539.925
824,-94.8
825,12.12
826,29.994
827,7.356
828,-58.56
829,41.1
830,53.07
831,-24.426
832,-68.6448
833,-8.052
834,-34.65
835,43.02
836,22.74
837,4.57
838,-195.96
839,-0.624
840,4.504
841,-1.5264
842,241.28
843,0.0
844,14.56
845,107.76
846,43.32
847,77.28
848,60.88
849,17.76
850,4.116
851,8.46
852,124.011
853,72.5344
854,36.3
855,29.6576
856,14.64
857,15.21
858,124.836
859,13.5
860,2.94
861,-7.70704
862,1.26
863,5.76
864,-27.552
865,4.6956
866,11.4
867,32.58
868,-38.148
869,-53.796
870,8.19
871,29.6
872,5.85
873,27.03
874,-48.392
875,7.38
876,27.72
877,-77.544
878,9.12
879,98.28
880,40.65
881,-9.3
882,77.8644
883,-124.476
884,100.122
885,-13.7403
886,126.336
887,-3.972
888,74.325
889,-1.3338
890,18.2352
891,64.8
892,11.0925
893,7.56
894,19.08
895,-69.99
896,21.75
897,21.0
898,18.78
899,0.12
900,40.4432
901,-551.936
902,-0.048
903,6.04
904,-10.72
905,-480.69
906,2.94
907,-1.456
908,24.9
909,-4.58
910,5.84
911,6.36
912,-6.3732
913,6.0
914,6.924
915,-5.856
916,-1.344
917,20.3439
918,88.29
919,-19.632
920,-47.328
921,-121.792
922,-8.6916
923,2.3409
924,5.8704
925,9.12
926,24.996
927,-11.025
928,63.48
929,15.8157
930,62.28
931,0.57
932,-6.132
933,0.0
934,-7.644
935,-10.876
936,0.1
937,7.14
938,-1.3566
939,-1.8295
940,13.824
941,-7.2852
942,5.775
943,-4.224
944,45.294
945,-30.654
946,132.0
947,14.385
948,17.116
949,352.0
950,0.0
951,-4.752
952,61.86
953,6.0
954,137.04
955,-11.154
956,0.27
957,-29.07
958,9.18
959,-163.152
960,-5.85
961,3.0861
962,43.89
963,6.20988
964,158.16
965,15.492
966,24.99
967,15.2901
968,1.23
969,9.9
970,9.86
971,3.18
972,42.3
973,19.08
974,842.52
975,16.08
976,468.96
977,19.9665
978,2.46
979,6.688
980,7.98
981,46.47
982,5.58
983,47.16
984,785.52
985,0.0
986,-62.331
987,177.66
988,67.869
989,-506.25
990,15.8376
991,53.16
992,36.12
993,4.44
994,21.7095
995,1.7052
996,-18.44
997,-231.84
998,3.51
999,12.72
1000,371.402
1001,260.611
1002,38.64
1003,238.68
1004,-1.044
1005,12.6077
1006,37.0
1007,54.09
1008,-19.4544
1009,4.3368
1010,24.843
1011,-2.268
1012,0.48
1013,37.44
1014,-0.564
1015,26.766
1016,44.6357
1017,14.22
1018,15.0735
1019,-68.058
1020,-11.928
1021,-66.996
1022,-486.465
1023,2.73
1024,-156.75
1025,11.88
1026,-1.374
1027,38.08
1028,568.26
1029,16.42
1030,-34.0704
1031,7.164
1032,3.984
1033,0.6
1034,-74.088
1035,229.98
1036,10.35
1037,6.72
1038,59.5
1039,21.14
1040,10.76
1041,1.14
1042,13.92
1043,18.04
1044,18.6
1045,5.3892
1046,4.498
1047,10.2
1048,11.625
1049,-18.432
1050,7.596
1051,57.24
1052,64.64
1053,8.073
1054,25.473
1055,19.32
1056,70.008
1057,12.9987
1058,22.05
1059,80.6312
1060,5.64
1061,-15.296
1062,88.614
1063,-15.28
1064,-167.536
1065,7.5
1066,7.2234
1067,171.3
1068,12.78
1069,-17.688
1070,22.84
1071,13.8828
1072,-12.18
1073,-176.496
1074,15.8256
1075,4.752
1076,3.6288
1077,7.2
1078,19.53
1079,36.0
1080,-35.52
1081,-8.792
1082,16.56
1083,3.08
1084,8.16
1085,-4.5
1086,2.8
1087,-4.2
1088,511.368
1089,11.04
1090,30.24
1091,-65.712
1092,-0.816
1093,172.8
1094,20.184
1095,0.4
1096,-28.62
1097,-86.22
1098,-27.9
1099,-7.2
1100,9.936
1101,275.52
1102,32.7
1103,305.13
1104,98.58
1105,39.12
1106,-18.585
1107,40.248
1108,10.08
1109,23.808
1110,14.04
1111,4.8
1112,108.823
1113,26.46
1114,1.686
1115,15.093
1116,566.02
1117,18.42
1118,4.2717
1119,9.9
1120,-314.775
1121,-10.386
1122,9.288
1123,4.29
1124,-35.848
1125,51.2943
1126,-2.184
1127,5.76
1128,-5.5338
1129,-6.927
1130,24.84
1131,-429.395
1132,50.28
1133,614.7
1134,27.82
1135,-66.54
1136,92.5056
1137,21.3
1138,35.1
1139,6.54
1140,21.0
1141,10.86
1142,13.86
1143,15.66
1144,1.62
1145,-88.992
1146,45.936
1147,795.24
1148,-53.85
1149,29.85
1150,-47.655
1151,0.744
1152,-7.332
1153,9.57
1154,7.02
1155,11.0
1156,24.12
1157,4.476
1158,55.8
1159,0.4264
1160,93.72
1161,173.922
1162,30.06
1163,183.45
1164,11.85
1165,-5.052
1166,-0.752
1167,37.44
1168,12.2
1169,4.0
1170,5.02
1171,-22.8
1172,-50.556
1173,-1.86
1174,104.88
1175,5.85
1176,3.196
1177,3.96
1178,14.3075
1179,18.12
1180,25.172
1181,-210.108
1182,1.11
1183,12.32
1184,6.48
1185,11.43
1186,11.244
1187,318.64
1188,2.28
1189,24.84
1190,-30.294
1191,4.0456
1192,-16.65
1193,-3.564
1194,64.92
1195,10.44
1196,-27.099
1197,10.44
1198,455.565
1199,170.88
1200,0.48
1201,7.9488
1202,74.46
1203,38.22
1204,-9.492
1205,0.0
1206,-244.251
1207,148.41
1208,31.8
1209,39.4
1210,-36.4
1211,-0.798
1212,-5.139
1213,95.175
1214,6.18
1215,-6.6987
1216,12.09
1217,0.0
1218,6.84
1219,1.64
1220,-6.219
1221,30.3
1222,1.0348
1223,0.64
1224,-177.39
1225,-10.332
1226,4.08
1227,10.44
1228,2.22
1229,-20.148
1230,12.62
1231,7.84
1232,-27.2709
1233,3.24
1234,-28.9224
1235,121.2
1236,7.66
1237,29.94
1238,0.0
1239,-46.08
1240,77.784
1241,-4.23
1242,311.016
1243,5.4
1244,136.68
1245,0.0
1246,1.7901
1247,16.38
1248,0.0
1249,41.58
1250,75.591
1251,369.09
1252,34.9965
1253,11.113
1254,21.15
1255,44.28
1256,11.37
1257,2.82
1258,19.524
1259,142.56
1260,0.6696
1261,1.4634
1262,4.8986
1263,13.5
1264,3.894
1265,-15.99
1266,12.33
1267,18.6
1268,3.96
1269,9.03
1270,181.56
1271,17.4
1272,19.5
1273,-31.647
1274,-21.984
1275,-448.92
1276,-0.036
1277,19.2
1278,19.44
1279,13.14
1280,-80.55
1281,-4.5
1282,1.8
1283,104.1
1284,-77.856
1285,42.66
1286,19.035
1287,209.01
1288,-32.3673
1289,9.84
1290,-8.864
1291,17.744
1292,61.62
1293,6.54
1294,3.42
1295,25.38
1296,0.0
1297,19.53
1298,21.5397
1299,-165.24
1300,48.94
1301,33.3172
1302,-17.796
1303,4.95
1304,3.756
1305,29.34
1306,15.36
1307,278.37
1308,-11.196
1309,46.56
1310,40.14
1311,-136.71
1312,9.06
1313,-3.075
1314,71.76
1315,6.918
1316,-25.1055
1317,8.52
1318,35.4252
1319,42.3
1320,0.36
1321,439.38
1322,60.1536
1323,63.9
1324,36.016
1325,19.2454
1326,8.2782
1327,4.004
1328,-18.792
1329,-3.94
1330,37.08
1331,-30.15
1332,418.92
1333,5.7568
1334,-1.746
1335,30.51
1336,-18.5175
1337,-8.82
1338,50.34
1339,-63.3765
1340,118.8
1341,-1.788
1342,-27.372
1343,18.81
1344,138.3
1345,16.998
1346,30.06
1347,-11.6028
1348,3.96
1349,-3.094
1350,-22.068
1351,4.68
1352,270.282
1353,0.0
1354,144.42
1355,9.24
1356,1.148
1357,7.23
1358,3.72
1359,8.1
1360,44.73
1361,5.5071
1362,86.7266
1363,-33.6
1364,-42.4116
1365,15.16
1366,-157.11
1367,2.16
1368,75.6
1369,-1.049
1370,24.921
1371,79.8795
1372,-7.92
1373,7.44
1374,-125.552
1375,2.1465
1376,-4.8978
1377,8.91
1378,3.6
1379,21.6
1380,12.6
1381,91.14
1382,113.305
1383,-74.9526
1384,-5.46
1385,6.3296
1386,460.08
1387,12.8352
1388,5.61
1389,-23.856
1390,1.38
1391,60.0
1392,276.6
1393,356.4
1394,16.194
1395,7.65
1396,103.283
1397,130.62
1398,2.0228
1399,10.98
1400,12.6468
1401,-79.284
1402,-13.005
1403,16.146
1404,46.14
1405,22.2
1406,20.88
1407,71.5375
1408,-39.5118
1409,217.718
1410,20.88
1411,1.312
1412,12.18
1413,11.88
1414,24.57
1415,31.68
1416,-14.202
1417,-42.588
1418,-308.58
1419,64.518
1420,30.372
1421,-17.816
1422,-74.85
1423,43.4
1424,385.38
1425,27.75
1426,16.5531
1427,460.08
1428,7.9
1429,14.5614
1430,6.54
1431,45.588
1432,4.38
1433,181.982
1434,-16.3183
1435,2.52
1436,73.062
1437,43.2234
1438,51.4
1439,184.22
1440,-10.3386
1441,8.82
1442,-1.648
1443,126.48
1444,2.2728
1445,-6.066
1446,74.1
1447,-78.792
1448,0.96
1449,6.651
1450,-0.054
1451,21.4776
1452,7.56
1453,2.52
1454,8.8044
1455,21.84
1456,12.012
1457,239.906
1458,5.256
1459,-14.336
1460,2.5056
1461,-4.66
1462,4.74
1463,47.76
1464,297.0
1465,-459.18
1466,3.0
1467,33.84
1468,33.9388
1469,11.16
1470,-54.06
1471,17.58
1472,33.39
1473,100.24
1474,10.35
1475,338.76
1476,-207.844
1477,1.59
1478,-233.213
1479,-1.794
1480,-68.376
1481,15.8
1482,-87.57
1483,19.26
1484,275.85
1485,11.0
1486,61.2
1487,-0.528
1488,-0.036
1489,4.068
1490,20.7328
1491,-5.304
1492,22.92
1493,19.296
1494,2.8784
1495,-4.86
1496,11.96
1497,9.45
1498,2.22
1499,-27.456
1500,45.558
1501,-4.44
1502,9.3312
1503,0.42
1504,16.65
1505,-104.453
1506,9.84
1507,2.3814
1508,18.06
1509,4.32
1510,4.8
1511,9.4284
1512,34.7916
1513,150.984
1514,-17.325
1515,3.45
1516,8.388
1517,49.288
1518,65.67
1519,638.46
1520,-71.2
1521,802.17
1522,4.0005
1523,90.2283
1524,19.95
1525,-223.02
1526,110.76
1527,35.1
1528,-16.52
1529,9.33
1530,15.0
1531,3.66
1532,48.69
1533,16.6698
1534,21.7845
1535,59.427
1536,10.134
1537,38.85
1538,19.62
1539,18.93
1540,15.777
1541,77.55
1542,-9.48
1543,43.0856
1544,-1109.55
1545,41.4
1546,38.576
1547,71.76
1548,-10.4214
1549,1.3992
1550,206.373
1551,18.948
1552,63.24
1553,23.92
1554,-3.816
1555,12.42
1556,1.168
1557,7.14
1558,6.3732
1559,-13.944
1560,-8.667
1561,-51.294
1562,-48.1905
1563,29.097
1564,47.6
1565,90.12
1566,2.0358
1567,0.0
1568,17.68
1569,368.16
1570,39.39
1571,131.355
1572,3.96
1573,13.8
1574,10.18
1575,-11.934
1576,232.0
1577,11.5326
1578,-4.32
1579,14.94
1580,30.0
1581,3.3544
1582,198.04
1583,17.4828
1584,3.48
1585,1.8
1586,10.62
1587,-1.52
1588,2.2272
1589,743.988
1590,-21.6
1591,361.92
1592,198.681
1593,518.76
1594,0.75
1595,12.72
1596,2.61
1597,26.08
1598,7.14
1599,0.5584
1600,0.6
1601,27.756
1602,178.11
1603,242.48
1604,-1.932
1605,52.35
1606,232.083
1607,60.4632
1608,-347.117
1609,-41.112
1610,-36.081
1611,1.56
1612,66.6
1613,76.272
1614,-12.7785
1615,200.955
1616,41.4276
1617,62.4
1618,12.36
1619,23.04
1620,-96.624
1621,40.5
1622,5.18
1623,11.6
1624,-85.976
1625,19.56
1626,74.4
1627,12.42
1628,1.88
1629,6.9864
1630,2.01
1631,-16.248
1632,6.5435
1633,9.3
1634,168.47
1635,5.67
1636,-20.07
1637,-131.601
1638,14.2
1639,47.241
1640,8.19
1641,79.5746
1642,78.78
1643,2.58
1644,1.1904
1645,-6.762
1646,7.128
1647,3.36
1648,2.16
1649,13.65
1650,33.78
1651,8.16
1652,0.8856
1653,0.54
1654,858.9
1655,114.24
1656,-214.98
1657,-4.512
1658,4.0338
1659,15.48
1660,52.9743
1661,125.198
1662,8.37
1663,1.05
1664,67.92
1665,29.28
1666,8.44
1667,200.34
1668,21.16
1669,-14.412
1670,-11.748
1671,101.934
1672,-123.744
1673,4.2
1674,16.5
1675,-4.113
1676,8.7138
1677,9.48
1678,-40.44
1679,-1.605
1680,-0.7623
1681,208.608
1682,20.235
1683,13.92
1684,-1.12
1685,6.09
1686,3.51
1687,42.9288
1688,6.84
1689,-23.0319
1690,4.264
1691,1.8
1692,4.14
1693,28.3095
1694,5.166
1695,0.0
1696,113.4
1697,57.0
1698,-16.725
1699,9.36
1700,29.28
1701,20.1
1702,14.184
1703,-8.244
1704,21.42
1705,46.47
1706,11.04
1707,-13.972
1708,17.82
1709,17.1
1710,10.02
1711,-92.9754
1712,-5.91
1713,2.632
1714,-26.82
1715,-3.234
1716,13.41
1717,-43.212
1718,-8.224
1719,10.08
1720,5.28
1721,10.38
1722,-14.676
1723,296.082
1724,294.549
1725,-0.351
1726,1.41
1727,46.76
1728,75.76
1729,6.5856
1730,43.56
1731,6.45
1732,-1399.24
1733,-5.88
1734,6.6312
1735,35.826
1736,58.56
1737,603.24
1738,1.6
1739,86.76
1740,-151.08
1741,-8.34
1742,-5.064
1743,16.398
1744,7.32
1745,-18.405
1746,7.84
1747,21.72
1748,-4.8528
1749,32.94
1750,-3.72
1751,15.24
1752,39.6
1753,46.62
1754,2.64
1755,27.45
1756,-56.1114
1757,2.016
1758,33.96
1759,6.615
1760,43.32
1761,347.175
1762,-3.789
1763,41.5519
1764,3.702
1765,13.0
1766,115.2
1767,165.599
1768,17.6232
1769,0.51
1770,296.91
1771,13.7428
1772,0.666
1773,17.745
1774,4.92
1775,4.53
1776,-0.036
1777,2.9372
1778,1.592
1779,372.56
1780,104.76
1781,27.68
1782,100.731
1783,15.0384
1784,0.96
1785,1.332
1786,-192.096
1787,58.5
1788,23.0
1789,8.43
1790,50.8768
1791,4.9
1792,-8.592
1793,747.612
1794,12.84
1795,-3.312
1796,2.5216
1797,4.68
1798,7.476
1799,8399.98
1800,64.845
1801,-38.1114
1802,-6.615
1803,34.14
1804,3.36
1805,1.56
1806,-82.536
1807,-1.08
1808,-237.636
1809,2.3077
1810,35.688
1811,50.22
1812,13.65
1813,241.38
1814,-124.662
1815,4.83
1816,2.299
1817,4.08
1818,-20.208
1819,7.44
1820,39.689
1821,0.48
1822,53.433
1823,95.4
1824,-8.475
1825,25.28
1826,-3.648
1827,-135.708
1828,-8.328
1829,13.896
1830,284.22
1831,31.68
1832,7.12
1833,26.19
1834,4.68
1835,9.0
1836,106.65
1837,7.92
1838,73.932
1839,20.754
1840,2.19
1841,-12.3051
1842,9.3312
1843,83.46
1844,12.33
1845,40.74
1846,169.92
1847,50.328
1848,-73.1106
1849,-70.467
1850,13.62
1851,976.8
1852,20.6016
1853,51.84
1854,125.3
1855,-11.408
1856,-52.3476
1857,47.52
1858,11.08
1859,30.87
1860,110.16
1861,35.2872
1862,8.0991
1863,4.98
1864,498.33
1865,80.7912
1866,17.3
1867,59.9922
1868,20.44
1869,86.49
1870,59.166
1871,45.9
1872,8.48
1873,-7.5768
1874,13.1868
1875,2.91
1876,-2.918
1877,4.98
1878,-12.552
1879,3.27
1880,18.9
1881,1.7055
1882,-9.981
1883,15.84
1884,3.36
1885,4.422
1886,357.18
1887,6.9
1888,18.18
1889,-275.634
1890,4.5816
1891,1.96
1892,4.96
1893,109.107
1894,-7.2
1895,91.6104
1896,14.651
1897,-39.144
1898,25.3
1899,-22.912
1900,23.4
1901,3.8048
1902,-21.6
1903,21.252
1904,24.2696
1905,64.44
1906,1.1994
1907,4.0995
1908,1.41
1909,4.5
1910,28.965
1911,54.24
1912,10.458
1913,10.92
1914,39.33
1915,9.66
1916,15.3
1917,8.5
1918,-20.844
1919,-6.248
1920,52.7692
1921,0.0
1922,0.3822
1923,-38.1876
1924,15.2208
1925,50.4
1926,35.1891
1927,29.16
1928,43.92
1929,5.409
1930,27.09
1931,12.42
1932,4.2816
1933,4.83
1934,20.58
1935,9.1638
1936,69.6
1937,-3.7584
1938,1.512
1939,33.543
1940,5.856
1941,0.24
1942,267.705
1943,-8.13
1944,-91.728
1945,-7.544
1946,-32.412
1947,2.295
1948,-245.112
1949,6.24
1950,-126.588
1951,-63.54
1952,64.248
1953,4.812
1954,17.7
1955,31.5
1956,4.2
1957,7.0713
1958,107.94
1959,-678.276
1960,377.702
1961,19.2
1962,-7.7094
1963,-437.273
1964,-83.076
1965,9.0
1966,167.43
1967,228.84
1968,-77.895
1969,1.98
1970,-23.568
1971,17.82
1972,14.7582
1973,106.48
1974,37.8
1975,-11.19
1976,-10.4874
1977,-7.425
1978,-4.02
1979,-4.7481
1980,0.0
1981,11.1
1982,-546.818
1983,3.3
1984,4.1028
1985,8.76
1986,77.52
1987,3.87
1988,3.57
1989,25.5
1990,7.11
1991,62.3279
1992,8.7
1993,9.92
1994,-50.5395
1995,7.68
1996,250.305
1997,7.2696
1998,1151.4
1999,14.85
2000,17.64
2001,205.725
2002,5.04
2003,54.3
2004,-53.732
2005,8.73
2006,73.08
2007,8.8624
2008,-10.4388
2009,32.655
2010,25.08
2011,7.56
2012,214.74
2013,-430.728
2014,85.68
2015,19.872
2016,-9.68
2017,146.28
2018,-177.96
2019,-20.496
2020,308.7
2021,1.76
2022,41.85
