,Ship Mode,Mode Id
173,Standard Class,3
174,Same Day,1
175,Same Day,1
176,Second Class,2
177,First Class,0
178,Standard Class,3
179,Second Class,2
180,Second Class,2
181,Standard Class,3
182,Standard Class,3
183,Standard Class,3
184,First Class,0
185,Same Day,1
186,Second Class,2
187,Standard Class,3
188,Second Class,2
189,Same Day,1
190,Standard Class,3
191,Same Day,1
192,Second Class,2
193,Standard Class,3
194,Second Class,2
195,Second Class,2
196,First Class,0
197,Standard Class,3
198,Standard Class,3
199,Second Class,2
200,Standard Class,3
201,First Class,0
202,Same Day,1
203,Second Class,2
204,Same Day,1
205,Standard Class,3
206,Same Day,1
207,Same Day,1
208,Second Class,2
209,Same Day,1
210,Second Class,2
211,First Class,0
212,Standard Class,3
213,First Class,0
214,Second Class,2
215,First Class,0
216,Standard Class,3
217,First Class,0
218,Second Class,2
219,First Class,0
220,Standard Class,3
221,Second Class,2
222,Second Class,2
223,First Class,0
224,Standard Class,3
225,Standard Class,3
226,Same Day,1
227,Standard Class,3
228,Second Class,2
229,First Class,0
230,Same Day,1
231,Standard Class,3
232,Second Class,2
233,Second Class,2
234,Second Class,2
235,Same Day,1
236,Same Day,1
237,Second Class,2
238,Same Day,1
239,Standard Class,3
240,First Class,0
241,First Class,0
242,Standard Class,3
243,Same Day,1
244,Second Class,2
245,First Class,0
246,First Class,0
247,Same Day,1
248,Standard Class,3
249,Standard Class,3
250,Standard Class,3
251,Second Class,2
252,Standard Class,3
253,Second Class,2
254,Same Day,1
255,Same Day,1
256,Standard Class,3
257,First Class,0
258,Second Class,2
259,Second Class,2
260,Second Class,2
261,Same Day,1
262,Same Day,1
263,First Class,0
264,First Class,0
265,Standard Class,3
266,Same Day,1
267,Standard Class,3
268,Same Day,1
269,First Class,0
270,Second Class,2
271,Same Day,1
272,Standard Class,3
273,Same Day,1
274,Same Day,1
275,Standard Class,3
276,First Class,0
277,Second Class,2
278,Second Class,2
279,Second Class,2
280,Same Day,1
281,Standard Class,3
282,Same Day,1
283,Same Day,1
284,Standard Class,3
285,Same Day,1
286,Same Day,1
287,Standard Class,3
288,Same Day,1
289,Second Class,2
290,Second Class,2
291,First Class,0
292,Same Day,1
293,Second Class,2
294,Standard Class,3
295,Second Class,2
296,Second Class,2
297,Standard Class,3
298,Same Day,1
299,First Class,0
300,Second Class,2
301,Standard Class,3
302,Standard Class,3
303,First Class,0
304,Same Day,1
305,First Class,0
306,Same Day,1
307,Same Day,1
308,Same Day,1
309,First Class,0
310,Standard Class,3
311,Second Class,2
312,Same Day,1
313,First Class,0
314,Second Class,2
315,Standard Class,3
316,Standard Class,3
317,Standard Class,3
318,Second Class,2
319,Second Class,2
320,First Class,0
321,First Class,0
322,Second Class,2
323,First Class,0
324,Second Class,2
325,Same Day,1
326,Standard Class,3
327,Same Day,1
328,Standard Class,3
329,First Class,0
330,Standard Class,3
331,First Class,0
332,Same Day,1
333,Second Class,2
334,First Class,0
335,First Class,0
336,Second Class,2
337,Standard Class,3
338,Standard Class,3
339,Second Class,2
340,Same Day,1
341,Second Class,2
342,Second Class,2
343,First Class,0
344,Second Class,2
345,Standard Class,3
346,Same Day,1
347,Standard Class,3
348,Second Class,2
349,Standard Class,3
350,Standard Class,3
351,Same Day,1
352,Second Class,2
353,First Class,0
354,Same Day,1
355,Standard Class,3
356,Second Class,2
357,First Class,0
358,First Class,0
359,Second Class,2
360,Standard Class,3
361,Standard Class,3
362,Standard Class,3
363,First Class,0
364,Standard Class,3
365,Standard Class,3
366,First Class,0
367,Same Day,1
368,Same Day,1
369,First Class,0
370,Second Class,2
371,Second Class,2
372,First Class,0
373,First Class,0
374,Standard Class,3
375,Second Class,2
376,Same Day,1
377,Same Day,1
378,Same Day,1
379,Same Day,1
380,Second Class,2
381,Same Day,1
382,Standard Class,3
383,Second Class,2
384,Same Day,1
385,Second Class,2
386,Standard Class,3
387,Second Class,2
388,Second Class,2
389,First Class,0
390,Second Class,2
391,First Class,0
392,Same Day,1
393,Standard Class,3
394,Same Day,1
395,First Class,0
396,Second Class,2
397,Second Class,2
398,Standard Class,3
399,First Class,0
400,Second Class,2
401,Same Day,1
402,First Class,0
403,Same Day,1
404,First Class,0
405,Same Day,1
406,Same Day,1
407,Standard Class,3
408,First Class,0
409,Second Class,2
410,Same Day,1
411,Second Class,2
412,Same Day,1
413,First Class,0
414,First Class,0
415,Same Day,1
416,Standard Class,3
417,First Class,0
418,Second Class,2
419,Same Day,1
420,Standard Class,3
421,First Class,0
422,Same Day,1
423,Same Day,1
424,Same Day,1
425,Standard Class,3
426,Second Class,2
427,Second Class,2
428,Standard Class,3
429,Same Day,1
430,Second Class,2
431,First Class,0
432,Same Day,1
433,Second Class,2
434,Standard Class,3
435,Standard Class,3
436,Second Class,2
437,Same Day,1
438,Same Day,1
439,Same Day,1
440,Same Day,1
441,Standard Class,3
442,First Class,0
443,Standard Class,3
444,Second Class,2
445,First Class,0
446,Second Class,2
447,Standard Class,3
448,Same Day,1
449,First Class,0
450,Second Class,2
451,Standard Class,3
452,Same Day,1
453,Second Class,2
454,Same Day,1
455,Same Day,1
456,Same Day,1
457,Second Class,2
458,Standard Class,3
459,Same Day,1
460,Standard Class,3
461,Standard Class,3
462,Same Day,1
463,Same Day,1
464,Same Day,1
465,Same Day,1
466,Same Day,1
467,Second Class,2
468,Same Day,1
469,Standard Class,3
470,Second Class,2
471,Second Class,2
472,Same Day,1
473,Standard Class,3
474,Second Class,2
475,Same Day,1
476,Standard Class,3
477,Standard Class,3
478,Standard Class,3
479,Standard Class,3
480,Standard Class,3
481,Same Day,1
482,Standard Class,3
483,Second Class,2
484,Same Day,1
485,First Class,0
486,Same Day,1
487,First Class,0
488,Second Class,2
489,Standard Class,3
490,First Class,0
491,Same Day,1
492,First Class,0
493,Same Day,1
494,Second Class,2
495,Same Day,1
496,Standard Class,3
497,First Class,0
498,First Class,0
499,Second Class,2
500,Standard Class,3
501,Second Class,2
502,Standard Class,3
503,First Class,0
504,Same Day,1
505,Standard Class,3
506,Same Day,1
507,Same Day,1
508,Second Class,2
509,Standard Class,3
510,Second Class,2
511,Second Class,2
512,Standard Class,3
513,First Class,0
514,First Class,0
515,Standard Class,3
516,Second Class,2
517,Same Day,1
518,First Class,0
519,Standard Class,3
520,Second Class,2
521,Standard Class,3
522,Standard Class,3
523,Same Day,1
524,Standard Class,3
525,First Class,0
526,Standard Class,3
527,Standard Class,3
528,Same Day,1
529,Standard Class,3
530,Second Class,2
531,Second Class,2
532,Second Class,2
533,Same Day,1
534,Standard Class,3
535,Second Class,2
536,First Class,0
537,Same Day,1
538,Second Class,2
539,Standard Class,3
540,Same Day,1
541,First Class,0
542,First Class,0
543,First Class,0
544,First Class,0
545,First Class,0
546,First Class,0
547,Standard Class,3
548,Same Day,1
549,Standard Class,3
550,Standard Class,3
551,Second Class,2
552,Second Class,2
553,Standard Class,3
554,Second Class,2
555,First Class,0
556,Same Day,1
557,Standard Class,3
558,Standard Class,3
559,Same Day,1
560,First Class,0
561,Standard Class,3
562,Same Day,1
563,Second Class,2
564,First Class,0
565,First Class,0
566,Same Day,1
567,Standard Class,3
568,Second Class,2
569,First Class,0
570,Same Day,1
571,Standard Class,3
572,Same Day,1
573,Standard Class,3
574,Standard Class,3
575,Same Day,1
576,Same Day,1
577,Standard Class,3
578,Standard Class,3
579,First Class,0
580,Same Day,1
581,First Class,0
582,Standard Class,3
583,Same Day,1
584,Standard Class,3
585,Second Class,2
586,Second Class,2
587,First Class,0
588,Same Day,1
589,Second Class,2
590,First Class,0
591,Same Day,1
592,First Class,0
593,Second Class,2
594,First Class,0
595,Second Class,2
596,Same Day,1
597,Same Day,1
598,First Class,0
599,First Class,0
600,Same Day,1
601,First Class,0
602,Same Day,1
603,Same Day,1
604,Standard Class,3
605,Second Class,2
606,Same Day,1
607,Standard Class,3
608,Same Day,1
609,Second Class,2
610,Second Class,2
611,Standard Class,3
612,Same Day,1
613,Second Class,2
614,First Class,0
615,Standard Class,3
616,Standard Class,3
617,Standard Class,3
618,Standard Class,3
619,Standard Class,3
620,First Class,0
621,Second Class,2
622,Same Day,1
623,Same Day,1
624,Standard Class,3
625,Same Day,1
626,Standard Class,3
627,First Class,0
628,Second Class,2
629,Standard Class,3
630,Same Day,1
631,Standard Class,3
632,Same Day,1
633,Standard Class,3
634,Second Class,2
635,Standard Class,3
636,First Class,0
637,Standard Class,3
638,Same Day,1
639,First Class,0
640,First Class,0
641,Same Day,1
642,Same Day,1
643,Second Class,2
644,Standard Class,3
645,Same Day,1
646,First Class,0
647,Second Class,2
648,Standard Class,3
649,Second Class,2
650,Same Day,1
651,Second Class,2
652,Second Class,2
653,Standard Class,3
654,First Class,0
655,Second Class,2
656,Standard Class,3
657,First Class,0
658,Same Day,1
659,First Class,0
660,Standard Class,3
661,First Class,0
662,Standard Class,3
663,Same Day,1
664,Standard Class,3
665,Standard Class,3
666,First Class,0
667,First Class,0
668,Standard Class,3
669,First Class,0
670,Standard Class,3
671,Same Day,1
672,Same Day,1
673,Same Day,1
674,First Class,0
675,Second Class,2
676,Standard Class,3
677,Same Day,1
678,Standard Class,3
679,First Class,0
680,Standard Class,3
681,Second Class,2
682,Second Class,2
683,Standard Class,3
684,First Class,0
685,Standard Class,3
686,Standard Class,3
687,Standard Class,3
688,First Class,0
689,Second Class,2
690,Same Day,1
691,Same Day,1
692,Same Day,1
693,Standard Class,3
694,Standard Class,3
695,Second Class,2
696,Same Day,1
697,Same Day,1
698,Same Day,1
699,First Class,0
700,First Class,0
701,Standard Class,3
702,Standard Class,3
703,Standard Class,3
704,First Class,0
705,Standard Class,3
706,Same Day,1
707,Second Class,2
708,Second Class,2
709,Standard Class,3
710,First Class,0
711,Second Class,2
712,Second Class,2
713,Same Day,1
714,First Class,0
715,Second Class,2
716,Same Day,1
717,Standard Class,3
718,Standard Class,3
719,First Class,0
720,First Class,0
721,Second Class,2
722,Same Day,1
723,First Class,0
724,First Class,0
725,First Class,0
726,First Class,0
727,Same Day,1
728,Standard Class,3
729,Same Day,1
730,Standard Class,3
731,Standard Class,3
732,Second Class,2
733,First Class,0
734,Same Day,1
735,First Class,0
736,Second Class,2
737,Same Day,1
738,Standard Class,3
739,Standard Class,3
740,Standard Class,3
741,Standard Class,3
742,First Class,0
743,Same Day,1
744,First Class,0
745,Same Day,1
746,Standard Class,3
747,First Class,0
748,Standard Class,3
749,Same Day,1
750,Second Class,2
751,Standard Class,3
752,Same Day,1
753,Standard Class,3
754,Second Class,2
755,Standard Class,3
756,First Class,0
757,First Class,0
758,Second Class,2
759,Second Class,2
760,Second Class,2
761,Second Class,2
762,Second Class,2
763,First Class,0
764,Standard Class,3
765,Standard Class,3
766,Second Class,2
767,Second Class,2
768,Same Day,1
769,Same Day,1
770,Same Day,1
771,Same Day,1
772,Standard Class,3
773,Standard Class,3
774,Standard Class,3
775,Standard Class,3
776,Same Day,1
777,Standard Class,3
778,Same Day,1
779,Same Day,1
780,Same Day,1
781,Second Class,2
782,Same Day,1
783,Standard Class,3
784,Standard Class,3
785,Same Day,1
786,Second Class,2
787,Same Day,1
788,Same Day,1
789,Same Day,1
790,Same Day,1
791,First Class,0
792,Same Day,1
793,Second Class,2
794,First Class,0
795,Same Day,1
796,First Class,0
797,Same Day,1
798,Standard Class,3
799,Second Class,2
800,Standard Class,3
801,First Class,0
802,Same Day,1
803,Second Class,2
804,Standard Class,3
805,Second Class,2
806,Standard Class,3
807,Second Class,2
808,Same Day,1
809,Second Class,2
810,Second Class,2
811,Same Day,1
812,First Class,0
813,Standard Class,3
814,Standard Class,3
815,Standard Class,3
816,First Class,0
817,First Class,0
818,Same Day,1
819,Same Day,1
820,Standard Class,3
821,First Class,0
822,First Class,0
823,Same Day,1
824,Same Day,1
825,Second Class,2
826,First Class,0
827,Same Day,1
828,Standard Class,3
829,Standard Class,3
830,Standard Class,3
831,First Class,0
832,First Class,0
833,Second Class,2
834,Standard Class,3
835,Second Class,2
836,Standard Class,3
837,First Class,0
838,Standard Class,3
839,Same Day,1
840,Second Class,2
841,Standard Class,3
842,First Class,0
843,Standard Class,3
844,First Class,0
845,Standard Class,3
846,Same Day,1
847,Standard Class,3
848,First Class,0
849,First Class,0
850,Second Class,2
851,First Class,0
852,First Class,0
853,First Class,0
854,Standard Class,3
855,Second Class,2
856,Standard Class,3
857,Same Day,1
858,Standard Class,3
859,Second Class,2
860,Second Class,2
861,Same Day,1
862,Second Class,2
863,Same Day,1
864,First Class,0
865,Standard Class,3
866,First Class,0
867,First Class,0
868,Standard Class,3
869,Standard Class,3
870,Standard Class,3
871,Second Class,2
872,Same Day,1
873,First Class,0
874,Second Class,2
875,Second Class,2
876,First Class,0
877,Second Class,2
878,Same Day,1
879,Standard Class,3
880,First Class,0
881,First Class,0
882,Second Class,2
883,First Class,0
884,Standard Class,3
885,First Class,0
886,Standard Class,3
887,Second Class,2
888,First Class,0
889,Second Class,2
890,Standard Class,3
891,Same Day,1
892,Second Class,2
893,Same Day,1
894,Second Class,2
895,First Class,0
896,Same Day,1
897,First Class,0
898,Second Class,2
899,Standard Class,3
900,Same Day,1
901,Standard Class,3
902,Second Class,2
903,Standard Class,3
904,Same Day,1
905,Second Class,2
906,Second Class,2
907,Standard Class,3
908,First Class,0
909,Standard Class,3
910,Second Class,2
911,Standard Class,3
912,First Class,0
913,Standard Class,3
914,Second Class,2
915,Second Class,2
916,Standard Class,3
917,First Class,0
918,Same Day,1
919,First Class,0
920,Second Class,2
921,Same Day,1
922,Second Class,2
923,First Class,0
924,Standard Class,3
925,Standard Class,3
926,First Class,0
927,Standard Class,3
928,First Class,0
929,First Class,0
930,Same Day,1
931,First Class,0
932,Standard Class,3
933,Same Day,1
934,Same Day,1
935,Same Day,1
936,Same Day,1
937,Same Day,1
938,First Class,0
939,Same Day,1
940,Standard Class,3
941,First Class,0
942,Same Day,1
943,Second Class,2
944,Standard Class,3
945,First Class,0
946,Standard Class,3
947,Same Day,1
948,First Class,0
949,Second Class,2
950,Same Day,1
951,Standard Class,3
952,Same Day,1
953,Same Day,1
954,Second Class,2
955,First Class,0
956,Standard Class,3
957,First Class,0
958,Standard Class,3
959,First Class,0
960,First Class,0
961,Standard Class,3
962,Standard Class,3
963,First Class,0
964,Standard Class,3
965,Standard Class,3
966,Same Day,1
967,First Class,0
968,Standard Class,3
969,Second Class,2
970,First Class,0
971,Same Day,1
972,Standard Class,3
973,Second Class,2
974,Second Class,2
975,Same Day,1
976,Standard Class,3
977,First Class,0
978,Second Class,2
979,Standard Class,3
980,Standard Class,3
981,Second Class,2
982,First Class,0
983,First Class,0
984,Standard Class,3
985,Second Class,2
986,First Class,0
987,Standard Class,3
988,Same Day,1
989,Same Day,1
990,Same Day,1
991,Standard Class,3
992,Standard Class,3
993,Second Class,2
994,Same Day,1
995,First Class,0
996,Standard Class,3
997,Standard Class,3
998,Standard Class,3
999,Second Class,2
1000,Standard Class,3
1001,Standard Class,3
1002,Standard Class,3
1003,Same Day,1
1004,Second Class,2
1005,Standard Class,3
1006,Standard Class,3
1007,Standard Class,3
1008,Standard Class,3
1009,Standard Class,3
1010,Same Day,1
1011,Standard Class,3
1012,Second Class,2
1013,Same Day,1
1014,Same Day,1
1015,Same Day,1
1016,Standard Class,3
1017,Standard Class,3
1018,Second Class,2
1019,Standard Class,3
1020,Same Day,1
1021,Second Class,2
1022,Same Day,1
1023,Second Class,2
1024,Second Class,2
1025,Same Day,1
1026,First Class,0
1027,Same Day,1
1028,First Class,0
1029,Same Day,1
1030,Same Day,1
1031,Same Day,1
1032,Standard Class,3
1033,Second Class,2
1034,Standard Class,3
1035,Standard Class,3
1036,Same Day,1
1037,Same Day,1
1038,Second Class,2
1039,First Class,0
1040,Standard Class,3
1041,Standard Class,3
1042,Same Day,1
1043,Same Day,1
1044,Standard Class,3
1045,Standard Class,3
1046,Standard Class,3
1047,Second Class,2
1048,Second Class,2
1049,First Class,0
1050,Same Day,1
1051,Standard Class,3
1052,Same Day,1
1053,Same Day,1
1054,Same Day,1
1055,Standard Class,3
1056,Second Class,2
1057,Second Class,2
1058,Standard Class,3
1059,First Class,0
1060,Second Class,2
1061,Second Class,2
1062,Same Day,1
1063,Standard Class,3
1064,Standard Class,3
1065,Same Day,1
1066,First Class,0
1067,Second Class,2
1068,Second Class,2
1069,First Class,0
1070,Second Class,2
1071,Standard Class,3
1072,Standard Class,3
1073,First Class,0
1074,Same Day,1
1075,Second Class,2
1076,Standard Class,3
1077,First Class,0
1078,Same Day,1
1079,Standard Class,3
1080,Standard Class,3
1081,Same Day,1
1082,Second Class,2
1083,First Class,0
1084,Same Day,1
1085,Second Class,2
1086,First Class,0
1087,Same Day,1
1088,Second Class,2
1089,Standard Class,3
1090,Standard Class,3
1091,Standard Class,3
1092,First Class,0
1093,First Class,0
1094,Second Class,2
1095,Second Class,2
1096,Standard Class,3
1097,Same Day,1
1098,First Class,0
1099,Same Day,1
1100,First Class,0
1101,Same Day,1
1102,Standard Class,3
1103,Second Class,2
1104,First Class,0
1105,Same Day,1
1106,Standard Class,3
1107,Standard Class,3
1108,Standard Class,3
1109,First Class,0
1110,Standard Class,3
1111,First Class,0
1112,First Class,0
1113,Same Day,1
1114,Same Day,1
1115,Same Day,1
1116,Second Class,2
1117,First Class,0
1118,Same Day,1
1119,Standard Class,3
1120,Standard Class,3
1121,Same Day,1
1122,Same Day,1
1123,Same Day,1
1124,Same Day,1
1125,Standard Class,3
1126,First Class,0
1127,Same Day,1
1128,Standard Class,3
1129,Standard Class,3
1130,Standard Class,3
1131,Same Day,1
1132,Same Day,1
1133,First Class,0
1134,Second Class,2
1135,Same Day,1
1136,Same Day,1
1137,Standard Class,3
1138,Second Class,2
1139,Standard Class,3
1140,Second Class,2
1141,First Class,0
1142,Standard Class,3
1143,First Class,0
1144,Same Day,1
1145,Second Class,2
1146,Same Day,1
1147,Standard Class,3
1148,Standard Class,3
1149,First Class,0
1150,Same Day,1
1151,Second Class,2
1152,Second Class,2
1153,Standard Class,3
1154,Standard Class,3
1155,Second Class,2
1156,Same Day,1
1157,Standard Class,3
1158,Second Class,2
1159,Second Class,2
1160,Standard Class,3
1161,Same Day,1
1162,Second Class,2
1163,First Class,0
1164,First Class,0
1165,Same Day,1
1166,Same Day,1
1167,Standard Class,3
1168,First Class,0
1169,Second Class,2
1170,Second Class,2
1171,Same Day,1
1172,Standard Class,3
1173,Second Class,2
1174,Second Class,2
1175,Standard Class,3
1176,Second Class,2
1177,Second Class,2
1178,Same Day,1
1179,First Class,0
1180,Second Class,2
1181,Standard Class,3
1182,Same Day,1
1183,Standard Class,3
1184,First Class,0
1185,First Class,0
1186,Second Class,2
1187,Same Day,1
1188,First Class,0
1189,Standard Class,3
1190,Same Day,1
1191,Standard Class,3
1192,Second Class,2
1193,First Class,0
1194,Standard Class,3
1195,Standard Class,3
1196,Same Day,1
1197,Second Class,2
1198,Same Day,1
1199,Standard Class,3
1200,Standard Class,3
1201,Second Class,2
1202,Standard Class,3
1203,Standard Class,3
1204,Same Day,1
1205,Standard Class,3
1206,Same Day,1
1207,Second Class,2
1208,First Class,0
1209,First Class,0
1210,Same Day,1
1211,Second Class,2
1212,First Class,0
1213,Same Day,1
1214,Standard Class,3
1215,Standard Class,3
1216,Same Day,1
1217,Same Day,1
1218,Standard Class,3
1219,First Class,0
1220,Same Day,1
1221,First Class,0
1222,Standard Class,3
1223,First Class,0
1224,Standard Class,3
1225,Standard Class,3
1226,First Class,0
1227,Standard Class,3
1228,Standard Class,3
1229,Same Day,1
1230,Same Day,1
1231,Same Day,1
1232,Same Day,1
1233,Standard Class,3
1234,Same Day,1
1235,Second Class,2
1236,First Class,0
1237,Standard Class,3
1238,First Class,0
1239,Same Day,1
1240,First Class,0
1241,Same Day,1
1242,Standard Class,3
1243,Second Class,2
1244,First Class,0
1245,Standard Class,3
1246,Standard Class,3
1247,First Class,0
1248,Same Day,1
1249,Standard Class,3
1250,First Class,0
1251,Standard Class,3
1252,Second Class,2
1253,Standard Class,3
1254,Second Class,2
1255,Standard Class,3
1256,Second Class,2
1257,First Class,0
1258,First Class,0
1259,Second Class,2
1260,Standard Class,3
1261,Same Day,1
1262,Standard Class,3
1263,First Class,0
1264,Same Day,1
1265,First Class,0
1266,Second Class,2
1267,Second Class,2
1268,Same Day,1
1269,Same Day,1
1270,First Class,0
1271,Same Day,1
1272,First Class,0
1273,Second Class,2
1274,First Class,0
1275,First Class,0
1276,Second Class,2
1277,Standard Class,3
1278,Standard Class,3
1279,Second Class,2
1280,Second Class,2
1281,First Class,0
1282,First Class,0
1283,Second Class,2
1284,Second Class,2
1285,Second Class,2
1286,Same Day,1
1287,Second Class,2
1288,Same Day,1
1289,First Class,0
1290,Second Class,2
1291,Standard Class,3
1292,Standard Class,3
1293,Same Day,1
1294,Same Day,1
1295,Second Class,2
1296,Second Class,2
1297,Second Class,2
1298,First Class,0
1299,Standard Class,3
1300,Same Day,1
1301,Same Day,1
1302,Second Class,2
1303,Standard Class,3
1304,Standard Class,3
1305,Second Class,2
1306,First Class,0
1307,Same Day,1
1308,Standard Class,3
1309,Second Class,2
1310,Standard Class,3
1311,First Class,0
1312,Standard Class,3
1313,First Class,0
1314,Same Day,1
1315,Second Class,2
1316,Standard Class,3
1317,Standard Class,3
1318,Standard Class,3
1319,Second Class,2
1320,Same Day,1
1321,Second Class,2
1322,Same Day,1
1323,Same Day,1
1324,Same Day,1
1325,Same Day,1
1326,First Class,0
1327,Standard Class,3
1328,First Class,0
1329,Standard Class,3
1330,Same Day,1
1331,Same Day,1
1332,Same Day,1
1333,Second Class,2
1334,Standard Class,3
1335,Standard Class,3
1336,Second Class,2
1337,First Class,0
1338,Standard Class,3
1339,Same Day,1
1340,Second Class,2
1341,Second Class,2
1342,Standard Class,3
1343,Second Class,2
1344,Same Day,1
1345,Second Class,2
1346,Second Class,2
1347,Standard Class,3
1348,First Class,0
1349,Same Day,1
1350,Same Day,1
1351,First Class,0
1352,First Class,0
1353,Second Class,2
1354,Standard Class,3
1355,Same Day,1
1356,Standard Class,3
1357,Same Day,1
1358,Standard Class,3
1359,Second Class,2
1360,Standard Class,3
1361,Second Class,2
1362,Same Day,1
1363,Second Class,2
1364,First Class,0
1365,First Class,0
1366,Standard Class,3
1367,Standard Class,3
1368,Standard Class,3
1369,Same Day,1
1370,Standard Class,3
1371,Standard Class,3
1372,First Class,0
1373,First Class,0
1374,Second Class,2
1375,First Class,0
1376,Standard Class,3
1377,Second Class,2
1378,Same Day,1
1379,Same Day,1
1380,Second Class,2
1381,Second Class,2
1382,Second Class,2
1383,Second Class,2
1384,Same Day,1
1385,Standard Class,3
1386,Standard Class,3
1387,Same Day,1
1388,Same Day,1
1389,First Class,0
1390,Second Class,2
1391,Second Class,2
1392,Same Day,1
1393,Standard Class,3
1394,Standard Class,3
1395,Second Class,2
1396,Second Class,2
1397,Same Day,1
1398,First Class,0
1399,Same Day,1
1400,Standard Class,3
1401,Standard Class,3
1402,Second Class,2
1403,Second Class,2
1404,Second Class,2
1405,Standard Class,3
1406,First Class,0
1407,Standard Class,3
1408,Standard Class,3
1409,Standard Class,3
1410,Same Day,1
1411,First Class,0
1412,Second Class,2
1413,Same Day,1
1414,Standard Class,3
1415,First Class,0
1416,First Class,0
1417,First Class,0
1418,Second Class,2
1419,Standard Class,3
1420,Same Day,1
1421,First Class,0
1422,First Class,0
1423,First Class,0
1424,Same Day,1
1425,First Class,0
1426,Standard Class,3
1427,Standard Class,3
1428,Standard Class,3
1429,Standard Class,3
1430,Second Class,2
1431,Same Day,1
1432,Second Class,2
1433,Same Day,1
1434,Standard Class,3
1435,Second Class,2
1436,Same Day,1
1437,First Class,0
1438,Standard Class,3
1439,Same Day,1
1440,Same Day,1
1441,Second Class,2
1442,First Class,0
1443,Standard Class,3
1444,Standard Class,3
1445,Standard Class,3
1446,First Class,0
1447,First Class,0
1448,Standard Class,3
1449,Second Class,2
1450,First Class,0
1451,Same Day,1
1452,Same Day,1
1453,Standard Class,3
1454,Standard Class,3
1455,Second Class,2
1456,First Class,0
1457,Same Day,1
1458,First Class,0
1459,First Class,0
1460,Same Day,1
1461,First Class,0
1462,Second Class,2
1463,First Class,0
1464,Same Day,1
1465,First Class,0
1466,First Class,0
1467,First Class,0
1468,First Class,0
1469,First Class,0
1470,Same Day,1
1471,Standard Class,3
1472,First Class,0
1473,Same Day,1
1474,Same Day,1
1475,First Class,0
1476,First Class,0
1477,First Class,0
1478,Same Day,1
1479,Standard Class,3
1480,Second Class,2
1481,First Class,0
1482,Same Day,1
1483,First Class,0
1484,First Class,0
