,Product ID,Quantity,Sales,Profit,discount
19,FUR-BO-10000071,13,1531.53,371.67,withDiscount
20,FUR-BO-10000087,18,1449.566,-257.174,withDiscount
20,FUR-BO-10000087,16,3784.86,340.68,withOutDiscount
21,FUR-BO-10000112,19,1776.742,-55.21380000000001,withDiscount
21,FUR-BO-10000112,5,617.1,172.65,withOutDiscount
22,FUR-BO-10000148,6,342.792,-228.528,withDiscount
22,FUR-BO-10000148,5,476.1,0.0,withOutDiscount
23,FUR-BO-10000175,6,732.24,205.02,withOutDiscount
23,FUR-BO-10000175,11,1202.094,235.524,withDiscount
24,FUR-BO-10000195,2,248.22,96.78,withOutDiscount
24,FUR-BO-10000195,10,930.825,173.625,withDiscount
25,FUR-BO-10000203,6,2322.54,975.42,withOutDiscount
25,FUR-BO-10000203,13,4552.181,1633.4180000000001,withDiscount
26,FUR-BO-10000208,3,185.265,-81.585,withDiscount
26,FUR-BO-10000208,30,3705.3,1036.8,withOutDiscount
27,FUR-BO-10000210,13,4741.62,1422.33,withOutDiscount
27,FUR-BO-10000210,13,4055.902,736.619,withDiscount
28,FUR-BO-10000243,7,1386.63,360.36,withOutDiscount
28,FUR-BO-10000243,21,3304.145,225.331,withDiscount
29,FUR-BO-10000259,10,4381.5,1139.1,withOutDiscount
29,FUR-BO-10000259,11,3286.13,-280.515,withDiscount
30,FUR-BO-10000265,3,466.074,108.684,withDiscount
30,FUR-BO-10000265,11,1898.8200000000002,588.39,withOutDiscount
31,FUR-BO-10000268,6,1029.544,-407.216,withDiscount
31,FUR-BO-10000268,5,474.8,137.6,withOutDiscount
32,FUR-BO-10000269,6,496.44,173.64,withOutDiscount
32,FUR-BO-10000269,7,397.152,20.552000000000007,withDiscount
33,FUR-BO-10000279,17,4986.529,152.24099999999999,withDiscount
33,FUR-BO-10000279,3,1236.33,383.22,withOutDiscount
34,FUR-BO-10000288,9,3549.01,-276.075,withDiscount
34,FUR-BO-10000288,11,4819.65,144.54000000000002,withOutDiscount
35,FUR-BO-10000330,8,822.664,-9.6784,withDiscount
35,FUR-BO-10000330,2,241.96,33.8744,withOutDiscount
36,FUR-BO-10000362,8,1367.8400000000001,314.6028,withOutDiscount
36,FUR-BO-10000362,6,786.508,-3.419599999999999,withDiscount
37,FUR-BO-10000378,11,920.64,9.18,withDiscount
37,FUR-BO-10000378,2,230.16,64.44,withOutDiscount
38,FUR-BO-10000402,3,394.956,21.906,withDiscount
38,FUR-BO-10000402,3,438.84,65.79,withOutDiscount
39,FUR-BO-10000411,11,1138.368,341.308,withDiscount
39,FUR-BO-10000411,13,1681.68,739.7,withOutDiscount
40,FUR-BO-10000425,6,616.572,-133.668,withDiscount
40,FUR-BO-10000425,2,342.54,92.46,withOutDiscount
41,FUR-BO-10000468,8,388.64,62.1824,withOutDiscount
41,FUR-BO-10000468,13,335.202,-195.2912,withDiscount
42,FUR-BO-10000490,7,2546.46,381.78,withOutDiscount
42,FUR-BO-10000490,16,5238.43,290.592,withDiscount
43,FUR-BO-10000502,5,1052.424,-175.476,withDiscount
43,FUR-BO-10000502,15,4385.1,701.4,withOutDiscount
44,FUR-BO-10000567,21,6103.860000000001,1342.74,withOutDiscount
44,FUR-BO-10000567,22,4534.294,-453.544,withDiscount
45,FUR-BO-10000596,16,5788.345,1929.132,withDiscount
45,FUR-BO-10000596,2,877.02,394.62,withOutDiscount
46,FUR-BO-10000610,7,626.751,180.08100000000002,withDiscount
46,FUR-BO-10000610,6,750.5999999999999,367.74,withOutDiscount
47,FUR-BO-10000624,19,4259.408,-397.116,withDiscount
47,FUR-BO-10000624,7,2042.18,326.62,withOutDiscount
48,FUR-BO-10000636,15,1350.48,354.48,withDiscount
48,FUR-BO-10000636,3,337.62,138.42000000000002,withOutDiscount
49,FUR-BO-10000668,8,3130.96,43.840599999999995,withDiscount
49,FUR-BO-10000668,2,246.12,66.42,withOutDiscount
50,FUR-BO-10000670,14,1701.42,714.4200000000001,withOutDiscount
50,FUR-BO-10000670,16,1361.136,233.13600000000002,withDiscount
51,FUR-BO-10000676,5,630.15,31.5,withOutDiscount
51,FUR-BO-10000676,11,730.9739999999999,-586.056,withDiscount
52,FUR-BO-10000684,13,1664.49,-116.64,withDiscount
52,FUR-BO-10000684,3,441.9,30.87,withOutDiscount
53,FUR-BO-10000699,11,1631.797,-0.05279999999999774,withDiscount
53,FUR-BO-10000699,13,2166.84,238.28999999999996,withOutDiscount
54,FUR-BO-10000728,39,7072.38,1906.8600000000001,withOutDiscount
54,FUR-BO-10000728,17,3311.7219999999998,188.684,withDiscount
55,FUR-BO-10000734,1,83.56,30.08,withOutDiscount
55,FUR-BO-10000734,19,1169.8400000000001,153.72,withDiscount
56,FUR-BO-10000746,3,150.696,7.476,withDiscount
56,FUR-BO-10000746,14,1172.08,503.71999999999997,withOutDiscount
57,FUR-BO-10000786,7,933.471,269.661,withDiscount
57,FUR-BO-10000786,16,2370.7200000000003,853.44,withOutDiscount
58,FUR-BO-10000847,9,838.971,226.07100000000003,withDiscount
58,FUR-BO-10000847,6,729.54,320.94,withOutDiscount
59,FUR-BO-10000883,1,78.4917,-44.8683,withDiscount
59,FUR-BO-10000883,7,872.13,8.61,withOutDiscount
60,FUR-BO-10000891,3,826.2,181.74,withOutDiscount
60,FUR-BO-10000891,15,2643.84,-578.46,withDiscount
61,FUR-BO-10000895,11,1242.846,166.086,withDiscount
61,FUR-BO-10000895,5,733.8,212.7,withOutDiscount
62,FUR-BO-10000936,1,154.143,13.683,withDiscount
62,FUR-BO-10000936,10,1712.7,308.1,withOutDiscount
63,FUR-BO-10000961,14,1323.516,204.636,withDiscount
63,FUR-BO-10000961,7,874.02,314.58,withOutDiscount
64,FUR-BO-10000967,13,3063.8199999999997,-113.12400000000002,withDiscount
64,FUR-BO-10000967,9,3282.66,1083.24,withOutDiscount
65,FUR-BO-10000980,10,3643.2,1311.3,withOutDiscount
65,FUR-BO-10000980,5,1646.726,480.77599999999995,withDiscount
66,FUR-BO-10001010,13,1395.408,245.298,withDiscount
66,FUR-BO-10001010,7,872.13,252.84,withOutDiscount
67,FUR-BO-10001039,7,2875.3199999999997,1236.27,withOutDiscount
67,FUR-BO-10001039,12,2711.014,-98.78400000000005,withDiscount
68,FUR-BO-10001042,16,1104.32,-190.4,withDiscount
68,FUR-BO-10001042,9,856.8000000000001,128.51999999999998,withOutDiscount
69,FUR-BO-10001067,7,582.68,186.34,withOutDiscount
69,FUR-BO-10001067,9,449.496,-60.084,withDiscount
70,FUR-BO-10001073,9,3938.49,748.17,withOutDiscount
70,FUR-BO-10001073,9,3308.329,118.01200000000003,withDiscount
71,FUR-BO-10001099,4,330.64,79.28,withOutDiscount
71,FUR-BO-10001099,11,644.748,-46.492,withDiscount
72,FUR-BO-10001133,4,1408.518,281.598,withDiscount
72,FUR-BO-10001133,10,4142.7,1325.4,withOutDiscount
73,FUR-BO-10001147,8,906.576,-104.304,withDiscount
73,FUR-BO-10001147,11,1878.0300000000002,488.07000000000005,withOutDiscount
74,FUR-BO-10001155,8,1132.5,96.12,withOutDiscount
74,FUR-BO-10001155,16,1768.196,-290.79449999999997,withDiscount
75,FUR-BO-10001165,3,1100.52,352.08,withOutDiscount
75,FUR-BO-10001165,8,1357.306,-638.5319999999999,withDiscount
76,FUR-BO-10001192,4,1467.36,630.96,withOutDiscount
76,FUR-BO-10001192,14,4108.603999999999,1181.208,withDiscount
77,FUR-BO-10001196,7,2559.69,614.25,withOutDiscount
77,FUR-BO-10001196,10,2226.926,-552.27,withDiscount
78,FUR-BO-10001201,12,988.08,424.8,withOutDiscount
78,FUR-BO-10001201,13,823.4,213.18,withDiscount
79,FUR-BO-10001212,21,7865.953,-370.66,withDiscount
79,FUR-BO-10001212,3,1322.01,145.35,withOutDiscount
80,FUR-BO-10001216,11,1861.1999999999998,744.48,withOutDiscount
80,FUR-BO-10001216,13,1619.2440000000001,299.48400000000004,withDiscount
81,FUR-BO-10001255,14,4171.372,-234.42600000000002,withDiscount
81,FUR-BO-10001255,2,731.82,102.42,withOutDiscount
82,FUR-BO-10001256,4,447.876,-10.044,withDiscount
82,FUR-BO-10001256,3,373.23,29.79,withOutDiscount
83,FUR-BO-10001287,7,1181.67,448.97999999999996,withOutDiscount
83,FUR-BO-10001287,7,1063.503,330.813,withDiscount
84,FUR-BO-10001295,7,918.12,422.24,withOutDiscount
84,FUR-BO-10001295,4,314.784,31.424,withDiscount
85,FUR-BO-10001324,4,705.348,101.868,withDiscount
85,FUR-BO-10001324,8,1567.44,360.48,withOutDiscount
86,FUR-BO-10001337,22,2244.179,-151.225,withDiscount
86,FUR-BO-10001337,6,725.88,72.588,withOutDiscount
87,FUR-BO-10001342,10,1303.05,-186.15,withDiscount
87,FUR-BO-10001342,7,1042.4399999999998,0.0,withOutDiscount
88,FUR-BO-10001356,10,1951.52,-0.08,withDiscount
88,FUR-BO-10001356,18,4390.92,878.04,withOutDiscount
89,FUR-BO-10001358,7,401.43600000000004,-247.60399999999998,withDiscount
89,FUR-BO-10001358,3,286.74,8.58,withOutDiscount
90,FUR-BO-10001362,2,493.452,-205.608,withDiscount
90,FUR-BO-10001362,2,822.42,123.36,withOutDiscount
91,FUR-BO-10001369,1,78.304,3.904,withDiscount
91,FUR-BO-10001369,6,587.28,140.88,withOutDiscount
92,FUR-BO-10001370,1,263.106,-122.784,withDiscount
92,FUR-BO-10001370,2,877.02,105.24,withOutDiscount
93,FUR-BO-10001372,18,7911.0,553.5,withOutDiscount
93,FUR-BO-10001372,3,1186.65,-39.6,withDiscount
94,FUR-BO-10001385,16,1759.652,444.452,withDiscount
94,FUR-BO-10001385,2,293.52,129.12,withOutDiscount
95,FUR-BO-10001387,14,1829.68,287.022,withDiscount
95,FUR-BO-10001387,3,590.22,259.65,withOutDiscount
96,FUR-BO-10001390,5,570.9,239.7,withOutDiscount
96,FUR-BO-10001390,7,525.228,61.548,withDiscount
97,FUR-BO-10001392,7,2746.7340000000004,945.987,withDiscount
97,FUR-BO-10001392,3,1307.97,536.22,withOutDiscount
98,FUR-BO-10001393,9,1531.71,168.48,withOutDiscount
98,FUR-BO-10001393,16,2312.885,-110.638,withDiscount
99,FUR-BO-10001405,15,1685.6100000000001,543.06,withDiscount
99,FUR-BO-10001405,10,1248.6,486.9,withOutDiscount
100,FUR-BO-10001461,3,548.905,253.795,withDiscount
100,FUR-BO-10001461,8,1573.92,786.96,withOutDiscount
101,FUR-BO-10001471,8,3483.6,1672.08,withOutDiscount
101,FUR-BO-10001471,18,7054.29,2978.3700000000003,withDiscount
102,FUR-BO-10001476,5,402.16,-10.14,withDiscount
102,FUR-BO-10001476,4,402.16,72.32,withOutDiscount
103,FUR-BO-10001483,14,1152.2,149.51999999999998,withOutDiscount
103,FUR-BO-10001483,25,1250.96,-539.54,withDiscount
104,FUR-BO-10001498,16,3132.034,362.436,withDiscount
104,FUR-BO-10001498,24,6593.76,2439.36,withOutDiscount
105,FUR-BO-10001501,15,4554.148,1030.1970000000001,withDiscount
105,FUR-BO-10001501,17,7006.38,3012.57,withOutDiscount
106,FUR-BO-10001519,10,421.515,-20.349000000000004,withDiscount
106,FUR-BO-10001519,12,697.68,167.44279999999998,withOutDiscount
107,FUR-BO-10001541,21,2075.734,-300.6271,withDiscount
107,FUR-BO-10001541,7,860.79,68.67,withOutDiscount
108,FUR-BO-10001553,7,2442.07,-244.251,withDiscount
108,FUR-BO-10001553,10,3876.3,38.7,withOutDiscount
109,FUR-BO-10001558,6,612.684,-296.136,withDiscount
109,FUR-BO-10001558,2,340.38,37.44,withOutDiscount
110,FUR-BO-10001580,25,3073.5,522.0,withOutDiscount
110,FUR-BO-10001580,6,461.02500000000003,-151.335,withDiscount
111,FUR-BO-10001585,11,817.632,-81.94800000000001,withDiscount
111,FUR-BO-10001585,14,1840.46,568.28,withOutDiscount
112,FUR-BO-10001598,16,2005.44,902.4,withOutDiscount
112,FUR-BO-10001598,8,913.729,362.209,withDiscount
113,FUR-BO-10001608,22,1002.238,-168.93239999999997,withDiscount
113,FUR-BO-10001608,8,567.8399999999999,141.95999999999998,withOutDiscount
114,FUR-BO-10001619,5,339.92,8.498,withDiscount
114,FUR-BO-10001619,1,84.98,18.6956,withOutDiscount
115,FUR-BO-10001621,10,1210.5,508.2,withOutDiscount
115,FUR-BO-10001621,8,811.035,249.195,withDiscount
116,FUR-BO-10001641,14,2007.18,702.24,withOutDiscount
116,FUR-BO-10001641,1,133.334,40.1241,withDiscount
117,FUR-BO-10001646,12,1837.28,718.96,withOutDiscount
117,FUR-BO-10001646,31,4338.184,436.92400000000004,withDiscount
118,FUR-BO-10001668,8,1373.52,54.72,withOutDiscount
118,FUR-BO-10001668,23,3368.56,-422.993,withDiscount
119,FUR-BO-10001708,15,1621.05,-196.95,withDiscount
119,FUR-BO-10001708,13,1969.5,393.9,withOutDiscount
120,FUR-BO-10001721,2,101.208,6.728,withDiscount
120,FUR-BO-10001721,8,674.72,296.8,withOutDiscount
121,FUR-BO-10001739,5,826.56,-303.14,withDiscount
121,FUR-BO-10001739,16,4408.32,793.28,withOutDiscount
122,FUR-BO-10001749,8,2269.74,-833.7,withDiscount
122,FUR-BO-10001749,19,7840.92,470.25,withOutDiscount
123,FUR-BO-10001753,27,2523.8925,693.2925,withDiscount
123,FUR-BO-10001753,7,847.35,372.75,withOutDiscount
124,FUR-BO-10001781,21,3157.438,-617.0999999999999,withDiscount
124,FUR-BO-10001781,9,2185.92,568.26,withOutDiscount
125,FUR-BO-10001798,2,261.96,41.9136,withOutDiscount
125,FUR-BO-10001798,10,1001.997,-98.235,withDiscount
126,FUR-BO-10001822,5,1809.3000000000002,54.15,withOutDiscount
126,FUR-BO-10001822,15,4559.438,-706.014,withDiscount
127,FUR-BO-10001831,3,523.908,81.468,withDiscount
127,FUR-BO-10001831,9,1746.36,419.04,withOutDiscount
128,FUR-BO-10001834,9,1304.6399999999999,312.93,withOutDiscount
128,FUR-BO-10001834,1,72.48,-37.71,withDiscount
129,FUR-BO-10001860,9,835.191,-13.419,withDiscount
129,FUR-BO-10001860,11,1620.3000000000002,583.1099999999999,withOutDiscount
130,FUR-BO-10001867,10,614.644,8.244,withDiscount
130,FUR-BO-10001867,11,913.6600000000001,246.62,withOutDiscount
131,FUR-BO-10001874,16,2110.834,160.11,withDiscount
131,FUR-BO-10001874,13,1932.45,347.49,withOutDiscount
132,FUR-BO-10001892,5,1944.9,155.55,withOutDiscount
132,FUR-BO-10001892,3,583.47,-490.14,withDiscount
133,FUR-BO-10001934,22,6180.622,-1182.3376,withDiscount
133,FUR-BO-10001934,30,10913.4,873.0,withOutDiscount
134,FUR-BO-10001946,10,686.712,-409.88800000000003,withDiscount
134,FUR-BO-10001946,21,2325.96,23.099999999999998,withOutDiscount
135,FUR-BO-10001966,3,196.032,-29.448,withDiscount
135,FUR-BO-10001966,6,490.08000000000004,39.12,withOutDiscount
136,FUR-BO-10001969,14,985.776,-566.8240000000001,withDiscount
136,FUR-BO-10001969,5,560.1,5.6,withOutDiscount
137,FUR-BO-10001972,2,241.96,41.1332,withOutDiscount
137,FUR-BO-10001972,35,2498.238,-1016.2318,withDiscount
138,FUR-BO-10002000,9,3700.89,555.12,withOutDiscount
138,FUR-BO-10002000,9,3343.1330000000003,197.3673,withDiscount
139,FUR-BO-10002003,16,3483.6049999999996,-2438.645,withDiscount
139,FUR-BO-10002003,10,4354.5,653.1,withOutDiscount
140,FUR-BO-10002008,2,163.96,27.84,withOutDiscount
140,FUR-BO-10002008,3,163.96,-40.22,withDiscount
141,FUR-BO-10002031,12,3870.4629999999997,-223.101,withDiscount
141,FUR-BO-10002031,8,3498.72,769.68,withOutDiscount
142,FUR-BO-10002032,4,384.183,7.382999999999999,withDiscount
142,FUR-BO-10002032,11,1363.23,327.03,withOutDiscount
143,FUR-BO-10002084,15,2460.648,-181.152,withDiscount
143,FUR-BO-10002084,2,482.48,130.24,withOutDiscount
144,FUR-BO-10002109,3,303.0,81.78,withOutDiscount
144,FUR-BO-10002109,10,606.0,-131.4,withDiscount
145,FUR-BO-10002133,3,379.53,159.39,withOutDiscount
145,FUR-BO-10002133,5,569.295,202.39499999999998,withDiscount
146,FUR-BO-10002182,8,1584.72,237.6,withOutDiscount
146,FUR-BO-10002182,10,1782.81,98.91,withDiscount
147,FUR-BO-10002204,16,3814.7999999999997,1623.66,withOutDiscount
147,FUR-BO-10002204,22,3528.065,580.501,withDiscount
148,FUR-BO-10002213,5,704.9,56.392,withOutDiscount
148,FUR-BO-10002213,37,12216.739,-36.70520000000002,withDiscount
149,FUR-BO-10002214,4,451.6,4.48,withOutDiscount
149,FUR-BO-10002214,29,2258.0,-983.62,withDiscount
150,FUR-BO-10002235,8,617.472,123.392,withDiscount
150,FUR-BO-10002235,6,578.88,208.32,withOutDiscount
151,FUR-BO-10002277,8,1390.3200000000002,69.36,withOutDiscount
151,FUR-BO-10002277,8,1272.143,-48.8172,withDiscount
152,FUR-BO-10002285,3,294.079,-85.9905,withDiscount
152,FUR-BO-10002285,5,754.05,120.6,withOutDiscount
153,FUR-BO-10002300,15,2735.712,616.732,withDiscount
153,FUR-BO-10002300,25,6333.599999999999,2812.0,withOutDiscount
154,FUR-BO-10002308,17,3335.4,667.0799999999999,withOutDiscount
154,FUR-BO-10002308,7,1188.972,90.25200000000001,withDiscount
155,FUR-BO-10002309,1,94.3,6.6,withOutDiscount
155,FUR-BO-10002309,3,226.32,-36.78,withDiscount
156,FUR-BO-10002318,7,2603.666,231.294,withDiscount
156,FUR-BO-10002318,3,1239.84,223.11,withOutDiscount
157,FUR-BO-10002324,16,1592.96,541.44,withOutDiscount
157,FUR-BO-10002324,3,179.208,-17.952,withDiscount
158,FUR-BO-10002325,2,549.52,109.88,withOutDiscount
158,FUR-BO-10002325,10,1978.272,-219.928,withDiscount
159,FUR-BO-10002334,3,287.58,31.62,withOutDiscount
159,FUR-BO-10002334,2,115.032,-55.608,withDiscount
160,FUR-BO-10002346,17,988.932,10.412000000000006,withDiscount
160,FUR-BO-10002346,14,1134.84,329.0,withOutDiscount
161,FUR-BO-10002352,13,1256.32,351.52,withOutDiscount
161,FUR-BO-10002352,14,1043.712,69.312,withDiscount
162,FUR-BO-10002378,7,526.064,-72.436,withDiscount
162,FUR-BO-10002378,6,563.64,50.64,withOutDiscount
163,FUR-BO-10002383,36,3213.252,62.53199999999998,withDiscount
163,FUR-BO-10002383,12,1567.44,517.2,withOutDiscount
164,FUR-BO-10002390,9,2507.291,-464.59700000000004,withDiscount
164,FUR-BO-10002390,8,2902.8,261.12,withOutDiscount
165,FUR-BO-10002444,2,780.3,257.46,withOutDiscount
165,FUR-BO-10002444,9,3242.15,889.367,withDiscount
166,FUR-BO-10002462,4,1511.946,-107.45400000000001,withDiscount
166,FUR-BO-10002462,8,3304.8,66.0,withOutDiscount
167,FUR-BO-10002471,11,1234.2,98.56,withOutDiscount
167,FUR-BO-10002471,4,336.59999999999997,-76.36,withDiscount
168,FUR-BO-10002510,25,3432.101,101.4114,withDiscount
168,FUR-BO-10002510,13,2057.2200000000003,338.25,withOutDiscount
169,FUR-BO-10002545,22,4146.971,-101.78199999999998,withDiscount
169,FUR-BO-10002545,13,3392.7400000000002,882.112,withOutDiscount
170,FUR-BO-10002580,5,879.0,-556.7,withDiscount
170,FUR-BO-10002580,9,2637.0,52.74,withOutDiscount
171,FUR-BO-10002598,2,113.568,12.7764,withDiscount
171,FUR-BO-10002598,17,1206.66,349.9316,withOutDiscount
172,FUR-BO-10002632,14,1872.99,208.11,withDiscount
172,FUR-BO-10002632,17,2527.05,505.41,withOutDiscount
173,FUR-BO-10002679,29,2418.6,773.72,withOutDiscount
173,FUR-BO-10002679,7,467.04,70.0,withDiscount
174,FUR-BO-10002682,4,595.92,71.4,withOutDiscount
174,FUR-BO-10002682,3,402.246,8.856,withDiscount
175,FUR-BO-10002708,5,1818.75,199.95,withOutDiscount
175,FUR-BO-10002708,13,3237.37,-971.505,withDiscount
176,FUR-BO-10002736,8,1174.56,187.92,withOutDiscount
176,FUR-BO-10002736,17,2136.2309999999998,39.620999999999995,withDiscount
177,FUR-BO-10002740,9,2467.26,814.14,withOutDiscount
177,FUR-BO-10002740,9,1480.356,-172.764,withDiscount
178,FUR-BO-10002766,21,5777.5199999999995,231.0,withOutDiscount
178,FUR-BO-10002766,7,1155.504,-693.336,withDiscount
179,FUR-BO-10002782,6,597.84,268.92,withOutDiscount
179,FUR-BO-10002782,17,1215.6080000000002,283.668,withDiscount
180,FUR-BO-10002793,2,236.088,39.348,withDiscount
180,FUR-BO-10002793,8,1573.92,786.96,withOutDiscount
181,FUR-BO-10002812,15,2268.402,327.55499999999995,withDiscount
181,FUR-BO-10002812,6,1008.18,231.84,withOutDiscount
182,FUR-BO-10002819,13,1394.96,263.1804,withDiscount
182,FUR-BO-10002819,12,1470.96,426.24,withOutDiscount
183,FUR-BO-10002824,4,446.901,-36.2352,withDiscount
183,FUR-BO-10002824,2,301.96,60.392,withOutDiscount
184,FUR-BO-10002853,6,294.98400000000004,-73.746,withDiscount
184,FUR-BO-10002853,3,245.82,61.455,withOutDiscount
185,FUR-BO-10002892,16,5288.05,916.2,withDiscount
185,FUR-BO-10002892,2,881.34,334.86,withOutDiscount
186,FUR-BO-10002906,9,590.6880000000001,-66.49199999999999,withDiscount
186,FUR-BO-10002906,2,164.08,18.04,withOutDiscount
187,FUR-BO-10002916,3,435.999,20.5176,withDiscount
187,FUR-BO-10002916,12,2051.7599999999998,389.8348,withOutDiscount
188,FUR-BO-10002936,4,446.148,198.228,withDiscount
188,FUR-BO-10002936,4,495.72,247.8,withOutDiscount
189,FUR-BO-10002964,5,853.5,102.3,withOutDiscount
189,FUR-BO-10002964,10,1075.41,-426.99,withDiscount
190,FUR-BO-10002968,4,970.0799999999999,155.2,withOutDiscount
190,FUR-BO-10002968,3,485.03999999999996,-126.12,withDiscount
191,FUR-BO-10002981,9,926.5799999999999,111.6,withOutDiscount
191,FUR-BO-10002981,18,1459.988,-43.831999999999994,withDiscount
192,FUR-BO-10002985,4,399.52,147.76,withOutDiscount
192,FUR-BO-10002985,13,1038.752,220.53199999999998,withDiscount
193,FUR-BO-10002990,6,2174.3999999999996,1000.08,withOutDiscount
193,FUR-BO-10002990,21,7023.3099999999995,2913.19,withDiscount
194,FUR-BO-10002992,10,1691.2,-435.0,withDiscount
194,FUR-BO-10002992,11,2657.6,318.78,withOutDiscount
195,FUR-BO-10003007,6,659.016,95.076,withDiscount
195,FUR-BO-10003007,14,1708.56,392.7,withOutDiscount
196,FUR-BO-10003028,16,2030.4,432.96,withDiscount
196,FUR-BO-10003028,8,1353.6,554.88,withOutDiscount
197,FUR-BO-10003029,8,3101.04,216.95999999999998,withOutDiscount
197,FUR-BO-10003029,1,244.207,-116.303,withDiscount
198,FUR-BO-10003034,13,1284.1399999999999,179.66,withOutDiscount
198,FUR-BO-10003034,27,2544.5,-200.5576,withDiscount
199,FUR-BO-10003043,5,479.9,76.7,withOutDiscount
199,FUR-BO-10003043,2,153.568,-7.712,withDiscount
200,FUR-BO-10003086,2,615.8679999999999,38.968199999999996,withDiscount
200,FUR-BO-10003086,4,1559.16,405.36,withOutDiscount
201,FUR-BO-10003103,12,4339.700000000001,824.44,withOutDiscount
201,FUR-BO-10003103,17,3078.1490000000003,-1379.838,withDiscount
202,FUR-BO-10003106,10,587.04,-205.56,withDiscount
202,FUR-BO-10003106,24,2348.16,445.92,withOutDiscount
203,FUR-BO-10003126,3,978.48,10.8,withDiscount
203,FUR-BO-10003126,3,1087.2,119.52,withOutDiscount
204,FUR-BO-10003159,23,1760.638,-234.3638,withDiscount
204,FUR-BO-10003159,20,1870.3400000000001,264.05740000000003,withOutDiscount
205,FUR-BO-10003199,4,1107.2,420.72,withOutDiscount
205,FUR-BO-10003199,10,1937.6000000000001,221.39999999999998,withDiscount
206,FUR-BO-10003206,11,1880.9289999999999,-58.812,withDiscount
206,FUR-BO-10003206,9,1763.37,176.31,withOutDiscount
207,FUR-BO-10003221,10,709.24,-152.16,withDiscount
207,FUR-BO-10003221,11,1114.52,166.98000000000002,withOutDiscount
208,FUR-BO-10003282,5,1864.21,455.565,withDiscount
208,FUR-BO-10003282,15,6214.049999999999,1988.1,withOutDiscount
209,FUR-BO-10003284,9,762.12,-148.5,withDiscount
209,FUR-BO-10003284,3,394.2,90.66,withOutDiscount
210,FUR-BO-10003287,2,97.656,-37.464,withDiscount
210,FUR-BO-10003287,13,1057.94,179.66000000000003,withOutDiscount
211,FUR-BO-10003291,5,405.1,121.5,withOutDiscount
211,FUR-BO-10003291,18,923.628,-97.33200000000001,withDiscount
212,FUR-BO-10003297,11,756.8,-231.88,withDiscount
212,FUR-BO-10003297,17,1608.2,80.24,withOutDiscount
213,FUR-BO-10003301,12,1787.6979999999999,166.97789999999998,withDiscount
213,FUR-BO-10003301,22,3713.82,742.5,withOutDiscount
214,FUR-BO-10003320,7,1914.3600000000001,555.1,withOutDiscount
214,FUR-BO-10003320,5,1093.92,123.02,withDiscount
215,FUR-BO-10003323,9,616.896,10.116,withDiscount
215,FUR-BO-10003323,16,1827.8400000000001,749.12,withOutDiscount
